country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Chile,South America,2021-02-15,262257,2173879,55018,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
Chile,South America,2021-02-16,201846,2375725,55028,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
China,Asia,2021-02-10,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
China,Asia,2021-02-11,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
China,Asia,2021-02-12,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
China,Asia,2021-02-13,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
China,Asia,2021-02-14,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
China,Asia,2021-02-15,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
China,Asia,2021-02-16,,,,Sinopharm/Beijing,1439323774,147.674,15308.712,0.761
Colombia,South America,2021-02-10,,,,,50882884,44.223,13254.949,0.767
Colombia,South America,2021-02-11,,,,,50882884,44.223,13254.949,0.767
Colombia,South America,2021-02-12,,,,,50882884,44.223,13254.949,0.767
Colombia,South America,2021-02-13,,,,,50882884,44.223,13254.949,0.767
Colombia,South America,2021-02-14,,,,,50882884,44.223,13254.949,0.767
Colombia,South America,2021-02-15,,,,,50882884,44.223,13254.949,0.767
Colombia,South America,2021-02-16,,,,,50882884,44.223,13254.949,0.767
Comoros,Africa,2021-02-10,,,,,869595,437.352,1413.89,0.554
Comoros,Africa,2021-02-11,,,,,869595,437.352,1413.89,0.554
Comoros,Africa,2021-02-12,,,,,869595,437.352,1413.89,0.554
Comoros,Africa,2021-02-13,,,,,869595,437.352,1413.89,0.554
Comoros,Africa,2021-02-14,,,,,869595,437.352,1413.89,0.554
Comoros,Africa,2021-02-15,,,,,869595,437.352,1413.89,0.554
Comoros,Africa,2021-02-16,,,,,869595,437.352,1413.89,0.554
Congo,Africa,2021-02-10,,,,,5518092,15.405,4881.406,0.574
Congo,Africa,2021-02-11,,,,,5518092,15.405,4881.406,0.574
Congo,Africa,2021-02-12,,,,,5518092,15.405,4881.406,0.574
Congo,Africa,2021-02-13,,,,,5518092,15.405,4881.406,0.574
Congo,Africa,2021-02-14,,,,,5518092,15.405,4881.406,0.574
Congo,Africa,2021-02-15,,,,,5518092,15.405,4881.406,0.574
Congo,Africa,2021-02-16,,,,,5518092,15.405,4881.406,0.574
Costa Rica,North America,2021-02-10,,,,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Costa Rica,North America,2021-02-11,,,,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Costa Rica,North America,2021-02-12,,,,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Costa Rica,North America,2021-02-13,,,,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Costa Rica,North America,2021-02-14,,,,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Costa Rica,North America,2021-02-15,,96948,42553,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Costa Rica,North America,2021-02-16,,,,Pfizer/BioNTech,5094114,96.079,15524.995,0.81
Cote d'Ivoire,Africa,2021-02-10,,,,,26378275,76.399,3601.006,0.538
Cote d'Ivoire,Africa,2021-02-11,,,,,26378275,76.399,3601.006,0.538
Cote d'Ivoire,Africa,2021-02-12,,,,,26378275,76.399,3601.006,0.538
Cote d'Ivoire,Africa,2021-02-13,,,,,26378275,76.399,3601.006,0.538
Cote d'Ivoire,Africa,2021-02-14,,,,,26378275,76.399,3601.006,0.538
Cote d'Ivoire,Africa,2021-02-15,,,,,26378275,76.399,3601.006,0.538
Cote d'Ivoire,Africa,2021-02-16,,,,,26378275,76.399,3601.006,0.538
Croatia,Europe,2021-02-10,,,,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Croatia,Europe,2021-02-11,,112774,47969,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Croatia,Europe,2021-02-12,,,,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Croatia,Europe,2021-02-13,,,,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Croatia,Europe,2021-02-14,,,,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Croatia,Europe,2021-02-15,,120603,52778,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Croatia,Europe,2021-02-16,,,,Pfizer/BioNTech,4105268,73.726,22669.797,0.851
Cuba,North America,2021-02-10,,,,,11326616,110.408,,0.783
Cuba,North America,2021-02-11,,,,,11326616,110.408,,0.783
Cuba,North America,2021-02-12,,,,,11326616,110.408,,0.783
Cuba,North America,2021-02-13,,,,,11326616,110.408,,0.783
Cuba,North America,2021-02-14,,,,,11326616,110.408,,0.783
Cuba,North America,2021-02-15,,,,,11326616,110.408,,0.783
Cuba,North America,2021-02-16,,,,,11326616,110.408,,0.783
Cyprus,Europe,2021-02-10,,,,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Cyprus,Europe,2021-02-11,,55673,14000,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Cyprus,Europe,2021-02-12,,,,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Cyprus,Europe,2021-02-13,,,,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Cyprus,Europe,2021-02-14,,,,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Cyprus,Europe,2021-02-15,,,,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Cyprus,Europe,2021-02-16,,,,Pfizer/BioNTech,875899,127.657,32415.132,0.887
Czechia,Europe,2021-02-10,18018,405398,131347,Moderna,10708982,137.176,32605.906,0.9
Czechia,Europe,2021-02-11,21198,426596,146819,Moderna,10708982,137.176,32605.906,0.9
Czechia,Europe,2021-02-12,19497,446093,160697,Moderna,10708982,137.176,32605.906,0.9
Czechia,Europe,2021-02-13,4109,450202,163390,Moderna,10708982,137.176,32605.906,0.9
Czechia,Europe,2021-02-14,2208,452410,164656,Moderna,10708982,137.176,32605.906,0.9
Czechia,Europe,2021-02-15,14168,466578,173269,Moderna,10708982,137.176,32605.906,0.9
Czechia,Europe,2021-02-16,,,,Moderna,10708982,137.176,32605.906,0.9
Democratic Republic of Congo,Africa,2021-02-10,,,,,89561404,35.879,808.133,0.48
Democratic Republic of Congo,Africa,2021-02-11,,,,,89561404,35.879,808.133,0.48
Democratic Republic of Congo,Africa,2021-02-12,,,,,89561404,35.879,808.133,0.48
Democratic Republic of Congo,Africa,2021-02-13,,,,,89561404,35.879,808.133,0.48
Democratic Republic of Congo,Africa,2021-02-14,,,,,89561404,35.879,808.133,0.48
Democratic Republic of Congo,Africa,2021-02-15,,,,,89561404,35.879,808.133,0.48
Democratic Republic of Congo,Africa,2021-02-16,,,,,89561404,35.879,808.133,0.48
Denmark,Europe,2021-02-10,7171,363467,156776,Moderna,5792203,136.52,46682.515,0.94
Denmark,Europe,2021-02-11,8054,371521,159220,Moderna,5792203,136.52,46682.515,0.94
